name,bio,photo_path,role,date,location
Fangqi Wen,"Fangqi Wen is a PhD candidate of sociology at New York University. In her dissertation, she uses natural experiments and survey experiments to study 1) the social consequences of China's One-Child Policy, and 2) Americans' perceptions and misperceptions of intergenerational mobility. Her research has been supported by a doctoral dissertation improvement award from the National Science Foundation and the Time-sharing Experiments for the Social Sciences (TESS) Short Studies.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Jake Carlson,"Jake is a PhD candidate in Sociology at the University of Wisconsin - Madison. He is currently a Dissertation Fellow with the Institute for Research on Poverty. He was previously a Visiting Scholar at NYU’s Urban Democracy Lab, and a Research Fellow at Participatory Budgeting Project. Jake is an urban and political sociologist, focused on democracy, housing, and changing cities. His dissertation examines the various causes and consequences of gentrification and displacement - and the relationships between the two.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Joanna Pepin,"Joanna Pepin is a graduating PhD student in the Department of Sociology at the University of Maryland​​. She will be joining the Population Research Center at the University of Texas - Austin as a Postdoctoral Fellow in the fall. Broadly, she is interested in understanding the ways families reproduce and protect against inequality. Her primary research interests concerns the intersection of couples' relationship processes and gender inequality linked to cultural norms. Her research has been supported by grants from the National Science Foundation and Time-sharing Experiments for the Social Sciences.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Hamid Ikram,"Hamid Ikram is an Assistant Professor of Education at the Government College University Faisalabad, Pakistan. He has a Doctorate in Education from the United States specializing in Educational Administration, Leadership and Technology. His doctoral research examined the integration of learning media technologies in teaching math and literacy. His research interest includes teachers’ professional development in advanced learning technologies, and education of low-SES communities. He intends to be a developer and practice computational social science. He is a US Exchange Scholar, Microsoft Certified Educator, and also the recipient of 2018 Digital Inclusion Award. He has published his research in peer-reviewed journals, and presented at renowned international conferences such as AERA, ISTE, AACE, CICE, and LICE. He has also won a best research paper award in ICMEI, France.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Danya Lagos,"Danya is a PhD student in sociology at the University of Chicago. Her research focuses on population-level trends related to transgender health, as well as on survey and computational methodology for demographic research on hard-to-identify populations. She has worked as a research assistant at the Computation Institute's Knowledge Lab.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Gerard Torrats-Espinosa,"Gerard Torrats-Espinosa is a doctoral student in Sociology at New York University and a doctoral fellow at the Furman Center for Real Estate and Urban Policy. His research interests include inequality and stratification, crime, urban policy, and quantitative methods.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Martina Balestra,"Martina Balestra is a Ph.D. candidate in the department of Technology Management & Innovation at New York University advised by Oded Nov. She is broadly interested in decentralized online platforms and how many diverse, anonymous, non-communicating people can come together to produce complex and high-quality information, artifacts, and communities. Her dissertation work tackles questions related to (1) the emergence and characterization of complex, dynamic user roles in decentralized and networked systems, (2) the structural and motivational determinants of who falls into what role, and (3) how individual, localized patterns of engagement give way to global system behavior.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Venetia Pliastika,Venetia currently is a research assistant in Computational Medicine at Thomas Jefferson University where she works with RNA mainly on cancer biomarkers and tool development. She is interested in learning how Computer Science methods are applied in other areas and specifically how they can facilitate social research. She studied Computer Science at the University of Pennsylvania.,,Participants,"June 18, 2018 - June 30, 2018",New York University
Bhumika Chauhan,"Bhumika Chauhan is a PhD student in the Department of Sociology at New York University. Her research interests include political sociology, inequality, and work. She is currently working on a project on wage inequality and workforce composition in India. She is also working on a collaborative project that concerns the relationship between the rise of programming and the gender wage gap in the US.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Offer Egozy,"Offer Egozy is a doctoral student in Sociology at New York University. His research has focused on the criminal justice system and, more recently, the contemporary art world.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Oscar Mendez,"Oscar earned his B. A. in economics at Universidad de Monterrey, Mexico on 2008. He then went on to study at the University of California, Davis where he obtained his Ph. D. degree in economics on June 2015. His fields of specialization are Labor Economics, International Trade, and Public Economics. Currently, Oscar is a Program Associate in the Economics program at the Alfred P. Sloan Foundation. In August 2018 he will start as Assistant Professor of Economics at Universidad Autónoma de Nuevo León in Mexico.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Anahita Davouudi,"Anahita is a researcher at Complex Adaptive Systems Lab. She received her PhD in Computer Science from University of Central Florid (MS in Electrical Engineering (UTA, 2012), MS in Computer Science (NCSU, 2011), and BS in Computer Engineering (Tehran Polytechnic, Iran, 2009)). Her primary research interest are social recommender systems and social data science with focus on user modeling and personalization.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Ned Crowley,"Ned Crowley is a PhD student at NYU, where he studies political and economic sociology.",,Participants,"June 18, 2018 - June 30, 2018",New York University
