name,bio,photo_path,role,date,location
Angela Cunningham,"I am a PhD candidate, expecting to graduate in the winter of 2018. My dissertation focuses on critical military geographies of rural Americans during and after the Great War. Drawing on newly accessible comprehensive individual-level civilian and military data, my research employs the techniques of historical demography and spatial analysis within a theoretical framework of space-time as relative, relational and constitutive to argue that the life courses and relationships of individual soldiers bind home and front and necessitate a more nuanced appreciation of the far-reaching and persistent effects of militaristic ideologies and practices. I have presented portions of my work at the annual meetings of the Social Sciences History Association, American Association of Geographers, and the Population Association of America. My first sole-authored paper, forthcoming in Historical Methods, explores automated record linkage methodologies.",,Participants,"August 13, 2018 - August 17, 2018",
Ashlynn Daughton,"Ashlynn Daughton is an information science PhD student at the University of Colorado, Boulder. She is interested in leveraging internet data to better inform public health decision makers. She is a graduate of the University of California, Berkeley (BS in molecular biology) and Boston University (MA in public health concentrating in maternal and child health and epidemiology). She works with Michael Paul at CU Boulder, and holds a position at Los Alamos National Laboratory in the Analytics, Intelligence, and Technology Division. Her current research focuses on using machine learning techniques to better understand human behavior, development of decision support tools for public health professionals, and methods to better incorporate Internet and social media data into traditional epidemiological models.",,Participants,"August 13, 2018 - August 17, 2018",
Emirhan Demirhan,"Emirhan Demirhan is a PhD candidate in Sociology at the University of North Texas. His research interests include democratization, the obstacles to the functioning of democracies, and manipulation of public opinion using computational and quantitative methods. In his dissertation, Emirhan focuses on how Turkish democratization failed as a result of unrestrained defiance to the status quo, which led to the destruction of institutions.",,Participants,"August 13, 2018 - August 17, 2018",
Alia Gant,"Alia Gant is currently a Diversity Resident Librarian at Penn State University. Prior to joining the university, Ms. Gant studied information science at the University of Texas at Austin where she focused her studies on academic librarianship. Ms. Gant also studied international studies in her graduate and undergraduate programs at the University of Iowa and American University respectively with an emphasis on Western Hemisphere studies and the European Union, focusing on Portuguese speaking countries, Brazil and Portugal. Alia is looking forward to the Summer Institute in Computational Social Science at the University of Colorado at Boulder! She hopes to learn more about CSS and also avenues to intersect her librarianship skills with computational social science methods to enrich her professional and academic research goals.",,Participants,"August 13, 2018 - August 17, 2018",
Pavel Goldstein,no bio.,,Participants,"August 13, 2018 - August 17, 2018",
Jordan Hale,"Jordan Hale is a Ph.D. candidate in the political science department at CU Boulder. Her research generally focuses on the impact of political institutions on norms of behavior, especially norms related to identity and globalization. Her dissertation asks specifically how different electoral systems impact the incentives for elites to politicize identity.",,Participants,"August 13, 2018 - August 17, 2018",
Xiaowen Hu,"Xiaowen Hu is currently a 2nd year PhD student in Finance at the University of Colorado, Boulder.",,Participants,"August 13, 2018 - August 17, 2018",
Juhi Huda,"Juhi is a doctoral candidate in the Environmental Studies Program (policy core) at CU Boulder. She studies environmental policy and governance in the United States and India focusing on policy change in areas of food systems governance (agricultural biotechnology), disaster and hazards (wildfire), and climate change; and factors influencing policy change such as communication, advocacy, and stakeholders. Her dissertation research investigates the controversial issue of agricultural biotechnology policy in India.",,Participants,"August 13, 2018 - August 17, 2018",
Eaman Jahani,"Eaman Jahani is a graduate research assistant pursuing a PhD degree in Social and Engineering Systems with a minor in Statistics at MIT IDSS. Prior to MIT, he was a software engineer at Google for 4 years. His main training is in statistics and computer science, but recently he has been appreciating econometrics and modeling in applied economics. His past research examined the extent of bubbles vs truth-seeking in cryptocurrency markets and socio-economic prediction in social networks. His current research focuses on structural factors such as networks or institutions that contribute to persistence of inequality.",,Participants,"August 13, 2018 - August 17, 2018",
Vivian Lai,"I am a Ph.D. student in Computer Science at the University of Colorado Boulder advised by Chenhao Tan. I study how to empower humans to make better decisions with machine's assistance. More broadly, I am interested in computational social science, natural language processing, and machine learning.",,Participants,"August 13, 2018 - August 17, 2018",
Anais Landry,no bio.,,Participants,"August 13, 2018 - August 17, 2018",
Stefani Langehennig,"Stefani Langehennig is a PhD candidate at the University of Colorado Boulder studying American politics and political methodology. Her research focuses on institutions, policy making, and congressional organization. She earned her Bachelor of Arts in Government at the University of Texas at Austin and her Masters of Science in Political Science at the University of Nebraska Omaha.",,Participants,"August 13, 2018 - August 17, 2018",
Eun Lee,"I've just finished my Ph.D. in South Korea about the structural inequality and its effects on the dynamics. I am a huge fan of Complex system group in Colorado, so I applied the summer school to meet and learn from the group. My passion is to understand the effect of heterogeneous characteristics of social network and people's attribute on human behavior and perception.",,Participants,"August 13, 2018 - August 17, 2018",
Huyen Le,"I am a Vietnam Education Foundation (VEF) fellow and a PhD student in Computer Science at the University of Iowa since Fall 2013. Since Fall 2015 I have worked under the supervision of professor Zubair Shafiq. My research interests are Social Media Analysis, Text Mining, and Applied Machine Learning. I received my M.S. in Computer Science, Pohang University of Science and Technology, South Korea in 2012 and my B.S. in Computer Science, Hanoi University of Science and Technology, Vietnam in 2010.",,Participants,"August 13, 2018 - August 17, 2018",
Ningzi Li,"My research interests include organizational theory, economic sociology and non-market strategy. I particularly focus on integrated market and non-market strategies and online community management. I received doctoral degree in sociology from Cornell University.",,Participants,"August 13, 2018 - August 17, 2018",
Nicholas Light,"Nick is a PhD Student in the Marketing division at the University of Colorado Leeds School of Business. Broadly his research focuses on consumer judgement and decision making. Specifically, Nick studies consumer perceptions of understanding, simplicity/complexity, and anti-science beliefs.",,Participants,"August 13, 2018 - August 17, 2018",
Jeremiah Osborne-Gowey,"I am a PhD student in the Environmental Studies (ENVS) and Environmental Design (ENVD) programs at CU Boulder. I work at the nexus of science, policy and natural resource management. I am particularly interested in collaborative governance approaches to managing interactions between humans and the rest of the natural world. My dissertation research focuses on understanding the role and evolution of network approaches to collaborative governance. My graduate research examines whether and how social learning networks build and foster adaptive capacity and resilience during transitions in complex social-environmental systems. I am currently working with the Fire Adapted Communities Learning Network (FAC Net). I have diverse skillset with a background that include statistics, ecology, behavioral interactions, community structure, impacts of introduced species, science communication, and policy and planning. At CU Boulder, I teach methods and planning courses in the ENVD program and have research appointments in the Center for Science and Technology Policy Research (CSTPR) and the Institute of Behavioral Science (IBS). Before joining the Goldstein lab at CU Boulder, I worked for >15 years as an aquatic/landscape ecologist with Federal and State agencies, universities and private and non-profit consulting firms throughout the Western United States. I earned an Honors Bachelor of Science degree in Fisheries and Wildlife (2003), a Master of Science in Quantitative Fish Ecology (2005), and a Master of Public Policy (2016) from Oregon State University. I enjoy spending time in the great outdoors with my partner and kids, friends and animals. My favorite activities include camping, backpacking, fishing, hunting, forest foraging, SCUBA diving, fly tying, traveling, photography, reading, gardening, geocaching, and homebrewing/distilling.",,Participants,"August 13, 2018 - August 17, 2018",
Marie Ouellet,no bio.,,Participants,"August 13, 2018 - August 17, 2018",
Anthony Pinter,"Anthony T. Pinter is a Ph.D. student in the Department of Information Science at the University of Colorado Boulder. He works with Dr. Jed R. Brubaker and the Identity Lab at CU, investigating online audiences' role in identity disclosure and trans experiences in social media. Prior to CU, he completed his B.S. and M.S. in Information Sciences and Technology at Penn State, where he worked with Dr. Lynette Kvasny Yarger on research related to discrimination in STEM fields. In his free time, he is a prolific music consumer, avid mountain biker, and a high school track coach.",,Participants,"August 13, 2018 - August 17, 2018",
Katherine Runge,"Katherine L. Runge is a PhD student of political science at the University of Colorado at Boulder. Her first field of study is American politics, and her second field of study is research methodology. Her specific areas of research focus on gender and politics in the American context, along with political psychology and voter behavior.",,Participants,"August 13, 2018 - August 17, 2018",
Qiaoni Shi,Qiaoni Shi is a PhD student in Marketing at University of Pittsburgh. She is broadly interested in applying computational social science method to understand consumer behavior and provide insights for firms. She is currently working on a project about platform strategy design.,,Participants,"August 13, 2018 - August 17, 2018",
Sarah Shugars,"A doctoral candidate in Northeastern's Network Science program, Sarah uses network analysis and natural language processing to study political dialogue and deliberation. Her research focuses on developing a network methodology for deliberation; modeling the way an individual reasons as a network of interconnected ideas and studying deliberation as process in which groups exchange ideas and collectively create new solutions. She received a BA cum laude in Physics from Clark University and an MA in Integrated Marketing Communications from Emerson College. She currently serves as senior editor for the Good Society: The Journal of Civic Studies and previously worked at Tufts University's Tisch College of Civic Life.",,Participants,"August 13, 2018 - August 17, 2018",
Tara Streng Schroeter,"I am a second year graduate student at the University of Colorado Boulder working towards my Ph.D. in Sociology. After completing my Bachelor's degree at the University of Utah I became interested in programming and data science, and curious to explore the ways that these fields can enhance my skills as a social researcher. I am currently working on research related to health, mortality, campus sexual assault, and relevant policies.",,Participants,"August 13, 2018 - August 17, 2018",
Becca Wang,"Becca Wang is a doctoral student in Sociology at Brown University, where she is also affiliated with the Population Studies and Training Center. Her research utilizes longitudinal analysis techniques to examine how population mobility is related to gender inequality, health, and urbanization. She also explores how computational methods and textual data can improve our understanding of social change over time. Prior to graduate school, she worked at Mathematica Policy Research and Mercy Corps.",,Participants,"August 13, 2018 - August 17, 2018",
Sari Widman,"Sari Widman explores alternative models for STEM and digital literacy education for learners of all ages. Her research centers the development of equitable and humanizing practices in informal learning spaces, and how families and communities engage with educational opportunities and resources. Her current work focuses on multi and intergenerational learning in community settings, with a particular focus on libraries. She is currently a PhD student at the University of Colorado Boulder School of Education, in Learning Sciences and Human Development.",,Participants,"August 13, 2018 - August 17, 2018",
Rumei Yang,"Rumei (May) Yang, an international nursing Ph.D. student from China. My early research interest mainly focused on the patient safety, including fall prevention, medication errors and risk management using evidence-based practice models. My current interest of research is focusing on the quality of care for the elderly. Skiing, hiking, and swimming are my favorite activities.",,Participants,"August 13, 2018 - August 17, 2018",
Matthew Yarbrough,"Matthew Yarbrough is a doctoral student at the University of Colorado-Boulder. His primary field of research is American Politics and minor field of Political Methodology. Previously graduating with Bachelors in Political Science, History, and International Affairs from the University of Georgia, Matthew's research focuses on gender differences in legislative behavior in the US Congress. Additional research focuses include congressional committee politics, LGBTQ politics, and political ambition within minority communities. In addition to his role as a student, Matthew serves as a Tri-Chair of the Chancellor's Advisory on Gender and Sexuality at CU-Boulder.",,Participants,"August 13, 2018 - August 17, 2018",
Tzu-Chi Yen,"Tzu-Chi is pursuing his Ph.D. in computer science at the University of Colorado Boulder. He is interested in problems that have some statistics flavor; for example, clustering of a network and error estimation of a novel survey method. Prior to graduate school, Tzu-Chi has lived in Beijing for three years as a software engineer (Python/JavaScript) at a tech startup, as a visiting student in the Institute of Theoretical Physics, Chinese Academy of Sciences, and most recently as a data analyst at an environmental NGO. He has founded the [Network Science Education Initiative in Taiwan](https://netscied.tw), whose goal is to make network science accessible and _fun_ for all abilities. He holds a BS in Biology from National Taiwan University.",,Participants,"August 13, 2018 - August 17, 2018",
Joseph Zamadics,"Hello, I am Joe Zamadics. I am a political science PhD candidate at the University of Colorado with a focus in American politics and political methodology. Specifically, my dissertation focuses on issue salience in lawmaking. By analyzing state newspaper content, I am able to link trends in issue salience to lawmaker actions and policy outcomes. I am originally from West Chester, PA which is 30 minutes outside the city of Philadelphia, home of the Super Bowl LII Champion Philadelphia Eagles. I graduated from Susquehanna University in 2012 with a B.S. in Economics. I obtained an M.A. in political science from the University of Colorado in 2014.",,Participants,"August 13, 2018 - August 17, 2018",
Kai Zhu,"I am currently a PhD student in Information Systems at Boston University. I am broadly interested in applying computational method to understand and solve social science problems, with a special focus on bias, inequality and polarization in digital systems. I am currently working on a project in which I try to identify and understand partisan slant and political polarization in local TV news using large-scale unstructured text data, i.e. the complete transcript of televised news from around 800 TV stations across all US Designated Market Areas for a period of approximately six years (2012~2018). In a previous study, I investigated the co-evolution of attention and content production in online collaborative systems such as Wikipedia. Specifically, we leverage a large-scale natural experiment to study how exogenous content contributions to a Wikipedia article causally affect the attention it attracts and how that attention spills over to other articles in the network.",,Participants,"August 13, 2018 - August 17, 2018",
