name,bio,photo_path,role,date,location
Yo-Yo Shuang Chen,"Shuang (Yo-Yo) Chen is a doctoral student in demography and social policy at Princeton University. Previously, she worked as a consultant at Oxford Policy Management and a program officer for the International Household Survey Network/Accelerated Data Program, providing technical assistance to statistical offices in developing countries. She has also consulted for the World Bank on education projects. She holds a master’s degree in international education policy analysis and a bachelor’s degree in mathematics with honors in education from Stanford University.",,Teaching Assistants,"June 18, 2017 - July 1, 2017",Princeton University
Vissého Adjiwanou,"Vissého Adjiwanou is a Senior Lecturer in Demography and Quantitative Methods at the University of Cape Town (South Africa), and adjunct professor at the Université de Montréal (Canada). His research interests include maternal and reproductive health, family dynamics, and female employment in sub-Saharan Africa. He will chair a session on Family transformation in SSA at the 28th International Population Conference (IPC) in Cape Town. Vissého is also interested in computational science where he tries to document discussions on gender and family formation of African immigrants in the West (Europe and North America) on social media, and their effects on their peers in Africa.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Kathryn Albrecht,"Kat Albrecht is pursuing a PhD in Sociology at Northwestern University. Her research focuses on investigating how the structure of data shapes research conclusions and broader sociological theory. Using machine learning methods, quantitative causal inference, and mapping techniques she primarily builds and analyzes large criminal justice datasets. She is especially concerned with the economics of fear, the working definition of homicide, and the general state of crime data. She received her bachelor’s degree from the University of Minnesota where she first began exploring the junction of computational methods and the social sciences.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Abdullah Almaatouq,"Abdullah Almaatouq is currently a Research Assistant at the Human Dynamics group and pursuing a PhD in Computational Science at MIT. He received dual masters’ in Computational Engineering and Media Arts & Sciences from MIT, and a bachelor degree from the School of Electronics & Computer Science at Southampton University in the UK. Abdullah’s work includes conducting theoretical and empirical research on human behavior using innovative approaches and tools ranging from complex systems theory and agent-based modeling, to network analysis, econometric techniques, and behavioral and experimental methods. Abdullah is passionate about people, their stories, and how they can be understood computationally.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Lisa Argyle,"Lisa Argyle is a postdoctoral researcher in the Politics Department at Princeton University.  She received her Ph.D. in Political Science from the University of California, Santa Barbara in 2016.  Her research is in political psychology and political behavior, where she uses a combination of survey data, experiments, and computational methods to examine how people form their political opinions and express those opinions to others.  She is particularly interested in understanding the role of interpersonal persuasion in democratic participation.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Elliott Ash,"Elliott Ash is Assistant Professor of Economics at University of Warwick and Visiting Scholar at Princeton University’s Center for Study of Democratic Politics. Elliott earned a PhD in economics from Columbia University. Elliott's research combines techniques from applied microeconometrics and machine learning for empirical analysis of law and politics, with a focus on text as data. Before obtaining his PhD, Elliott received a BA (Plan II) from University of Texas at Austin, a JD from Columbia Law School, and an LLM (international criminal law) from University of Amsterdam. He also provided consulting work for the Department of Justice investigation of discriminatory practices at Ferguson Police Department.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Joshua Becker,Joshua Becker is a PhD candidate with the Network Dynamics Group at the University of Pennsylvania with a professional background in facilitation and decision-making.  His research on collective intelligence uses formal models and experimental tests to examine how social network structure shapes the quality of group decisions.  His current research focuses on how communication networks can be harnessed to tap the wisdom of crowds and improve estimation accuracy on tasks such as financial forecasting and medical diagnoses.,,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Anjali Bhatt,"Anjali Bhatt is a PhD student in Organizational Behavior at the Stanford Graduate School of Business. Prior to graduate school, she received her bachelor's degree in physics from Harvard and spent several years consulting with organizations on their social impact strategy. Anjali's research focuses on using computational techniques (such as agent-based modeling and text analysis) to understand organizational culture and how it emerges, evolves, and diffuses, as well as ways in which it affects and is affected by diversity and inequality in organizations.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Moritz Büchi,"Moritz Büchi is a Senior Research and Teaching Associate in the Media Change & Innovation Division, Institute of Mass Communication and Media Research (IPMZ), University of Zurich, Switzerland. His research examines new media use, digital inclusion and inequality, online privacy, digital well-being and overuse, and comparative and computational research methods.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Bo Cowgill,"Assistant Professor at Columbia Business School. He received my Ph.D. from UC Berkeley, and won the Kauffman Dissertation Fellowship and Robert Beyster Fellowship. His research interests are in applied microeconomics and strategy, particularly productivity, technological innovation, organizational economics and platforms.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Anna Filippova,"Anna Filippova is a postdoctoral researcher with the Institute for Software Research at Carnegie Mellon University, where she works towards supporting sustainable open collaborative community development, particularly in the context of Free/Open Source Software and Wikipedia communities. She has received her Ph.D from the National University of Singapore.  Her research interests include social norms and conflict in virtual environments, inclusive group processes in diverse teams, and the role of face-to-face events in supporting the development of online peer-production communities. She has also been involved in organizing Free/Open Source community events, such as the Abstractions conference and Ruby monthly meet-ups.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Connor Gilroy,"Connor Gilroy is a PhD student in sociology at the University of Washington. He studies LGBTQ communities and populations to understand social processes of visibility, acceptance, and assimilation. His current research investigates patterns of sociodemographic change in gay neighborhoods. Additionally, he has projects on improving demographic estimates of queer populations with social media data and on using agent-based models to explore the macro-level impacts of the interpersonal process of coming out as LGBTQ.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Ian Gray,"Ian Gray is pursuing a PhD in the Department of Sociology at the University of California Los Angeles. He was previously a Research Fellow at the Medialab of Sciences Po, in Paris, and received a Master in City Planning from the Department of Urban Studies and Planning at the Massachusetts Institute of Technology. He is interested in how environmental problems become economic problems and his current research is focused on the politics of calculating and preparing for the risks and impacts from climate change.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Jeffrey Jacobs,"Jeffrey Jacobs is a PhD student in Political Science at Columbia University. His research aims to utilize natural language processing, network analysis, and machine learning techniques to gain new insights into the history of political thought, labor and community organizing, economic inequality, and online labor markets. Before coming to Columbia he received an MS in Computer Science from Stanford University and Bachelor's degrees in Mathematics, Computer Science, and Economics from the University of Maryland.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Ridhi Kashyap,"Ridhi Kashyap is a postdoctoral research fellow at Nuffield College at the University of Oxford. Her educational career has spanned four countries – after an undergraduate at Harvard, she did a master’s degree between Germany and Spain, and recently finished her DPhil (PhD) in demography and sociology jointly affiliated with the University of Oxford, UK and the Max Planck Institute for Demographic Research, Germany. Her research projects span a number of substantive areas in demography, including gender and other social inequalities in demographic processes, marriage and fertility change, mortality and health, and ethnicity and migration. She is also interested in methodological innovations in population studies including agent-based, microsimulation and ‘big data’ approaches.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Antje Kirchner,"Antje Kirchner is a Research Survey Methodologist at RTI International and an Adjunct Research Assistant Professor at the University of Nebraska - Lincoln, Lincoln. Her research addresses challenges in survey methodology, including ways to examine nonresponse bias using machine learning techniques, adaptive/responsive design,  assessing the quality of survey and administrative data, eliciting and analyzing answers to sensitive questions,detecting problems in the respondent-interviewer interaction, and how to improve response quality in web surveys using paradata. Her research has been published in journals such as Public Opinion Quarterly, Journal of Survey Statistics and Methodology, and Journal of the American Statistical Association.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Peter Krafft,"Peter Krafft is a graduating PhD student at MIT co-advised by Sandy Pentland and Josh Tenenbaum, soon to be living the bohemian life of an itinerant postdoc. His main formal training is in statistics, machine learning, and computer science, but he now studies computational social science and collective intelligence, often from the perspective of cognitive science. His current research focuses on understanding how people form beliefs about the world through their own exploration and through interaction with each other.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Molly Lewis,Molly Lewis is a postdoctoral researcher at the University of Chicago and the University of Wisconsin-Madison. Her research focuses on understanding how linguistic meaning varies across development and across speakers of different languages. She is also interested in issues related to scientific replicability and reproducibility.  She received her PhD in Developmental Psychology from Stanford University and her BA in Linguistics from Reed College.,,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Charlotte Lloyd,"Charlotte Lloyd is a PhD candidate in Sociology with a secondary field certificate in Computational Science and Engineering. Her mixed methods research, including new computational methods for social science, focuses on how symbolic and cultural boundaries are related to structural inequality within organizations and communities. Charlotte received her B.A. in Comparative Literature and Political Science from the University of North Carolina at Chapel Hill in 2011.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Allison Morgan,"Allison Morgan is pursuing her Ph.D. in computer science at the University of Colorado, Boulder. She is interested in using data mining, machine learning, social network analysis and causal inference to develop and test hypotheses about the origins and effects of gender imbalance within academia. Prior to graduate school, Allison worked as a data scientist for two years at a small tech start-up in Portland, OR. She earned her B.A. in physics from Reed College.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Matti Nelimarkka,"Matti Nelimarkka is a PhD Candidate at University of Helsinki and Aalto University with background both in political science and computer science. His research interests include supporting participation in various contexts (e.g., classroom, political participation) and studying online political communication. His work spans from human-computer interaction to political science and has often interdisciplinary nature. He's also the cofounder of computational social science study program at University of Helsinki.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Kivan Polimis,"Kivan Polimis is an incoming postdoctoral research fellow at Bocconi University’s Dondena Centre for Research on Social Dynamics and Public Policy. He received his Ph.D. in Sociology from the University of Washington (UW) in 2017. Recently, Kivan has enjoyed facilitating public-private partnerships as the program coordinator for UW’s Data Science for Social Good, a Civic Technology and Engagement Fellow with Microsoft, and a Big Data-Scientist Training Enhancement Program (BD-STEP) Predoctoral Fellow with the Department of Veteran Affairs. His research focuses on health development and applying statistical techniques to investigate disparities in health care, transportation, and the legal system.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Ethan Porter,"Ethan Porter is an assistant professor at George Washington University in the School of Media and Public Affairs. He received his PhD in Political Science from the University of Chicago in 2016. His dissertation, The Consumer Citizen, investigates the ways in which everyday consumer decision-making affects political attitudes and behavior. His research interests include public opinion, political communication, political psychology, and experimental design. He has received grants from the National Science Foundation and the Omidyar Network. His research has appeared in Political Communication, and he has written for The New York Times, The Washington Post and other publications.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Maria Y. Rodriguez,"Maria Y. Rodriguez is an Assistant Professor at the Silberman School of Social Work at the City University of New York’s Hunter College. She received her Ph.D from the University of Washington (Seattle). Her research interests intersect demography, data science, housing policy and social welfare. Currently, she has three active areas of research - (1) identifying the impacts of the U.S. foreclosure crisis on Latinos; (2) exploring how supervised machine learning can be used to scale up theoretically driven qualitative coding, and (3) using Twitter to understand the lived experience of marginalized communities in the United States.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Hirokazu Shirado,"Hirokazu Shirado is  a researcher in the field of social networks and human-machine interactions. he is taking courses to complete his doctorate in Department of Sociology at Yale University where he has also studied at Human Nature Lab at Yale Institute for Network Science.  His current research focuses on the experimental analysis of the emergence of cooperative action in social networks. His goal is to engineer social systems with more affordable participation. His study was published by Nature, Nature Communications, and other journals.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Rochelle Terman,"Rochelle Terman is a post-doc at the Center for International Security and Cooperation at Stanford University. She received her Ph.D. in Political Science with a designated emphasis in Gender & Women’s Studies at the University of California, Berkeley.  Her research examines international norms, gender and advocacy, with a focus on the Muslim world, using a mix of quantitative, qualitative and computational methods. She also teaches computational social science in a variety of capacities.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Adaner Usmani,"Adaner Usmani is a postdoctoral fellow at the Watson Institute for International and Public Affairs at Brown University. His dissertation examines the rise and fall of labor movements over the 20th and early 21st centuries, and considers the effects of these facts on politics and public opinion. In other work, he has written about American mass incarceration, with an eye on the racial politics of its origins and reproduction.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Tong Wang,"Tong Wang is an Assistant Professor of Management Sciences at the Tippie College of Business, University of Iowa. She received her Ph.D. in Computer Science from the Massachusetts Institute of Technology in 2016. Her general research interests include interpretable machine learning and applied data mining, with its application in computational criminology, healthcare, social marketing, etc. Her research on crime data mining is the second place winner in 'Doing Good with Good OR' at INFORMS 2015. Her work on crime data mining has been reported in multiple media including Wikipedia.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
Michael Yeomans,"Michael Yeomans is a post-doctoral fellow at Harvard University. He studies the Behavioral Science of Big Data - how new datasets and algorithms are changing our daily life, and expanding the researcher toolbox in social science. Michael completed his undergraduate degree in Psychology at the University of Toronto and in 2014, and completed a PhD and an MBA in Behavioral Science at the University of Chicago Booth School of Business.",,Participants,"June 18, 2017 - July 1, 2017",Princeton University
