name,bio,photo_path,role,date,location
Roxana Chiappa,"Roxana is a PhD candidate in Higher Education at the University of Washington - Seattle. She is interested in unmasking how social and economic inequality gets reproduced at emerging economies, looking specifically at the career of doctorate holders, to whom she treats as the most meritocratic ""intellectual elite"" in the supposed ""knowledge society"".  To complete this task, Roxana's dissertation has combined multiple sources of national surveys, qualitative interview, and CV data of university professors to identify how meritocratic criteria and social network ascription inform the career outcomes  of university professors in Chile. In the near future, Roxana will apply similar methodology using data from Mexico and South Africa.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Gregg Colburn,"Gregg is an assistant professor in the Department of Real Estate at the University of Washington. Gregg's scholarship focuses on housing policy, affordable housing, and homelessness. In his previous career, he worked as an investment banker and private equity professional. Gregg has a Ph.D. in public affairs from the University of Minnesota, an M.S.W. from the University of Minnesota, and an M.B.A. from Northwestern University.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Jacob Deppen,"Jacob is a PhD candidate in Anthropology/Archaeology at UW. His current work is centered on contextual analyses of consumption and entanglement during the Iron Age in Mallorca, Spain. As a member of the Digital Archaeology Research (DigAR) Lab, he is interested in advancing the use of digital technologies and information in archaeology. This includes things like writing code to speed up or automate data analysis, creating novel data visualizations, designing mobile apps, and exploring ways that digital technologies can help archaeologists ask new questions, develop new methods, and generally do better research.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Francisca Gomez Baeza,"Francisca is a PhD student in Sociology at University of Washington. She holds a Master’s degree in Public Policy and Bachelor’s degree in Psychology.  Her work has focused mostly on criminology and social control, from an interdisciplinary perspective. Currently, she is studying support for mob violence in Chile using survey data and digital data. She is also broadly interested in critical data science, critical theory, deviance, punishment, feminism, and political economy. Geographically, her main interest is in Latin America in particular, and in the Global South in general.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Kristi Govella,"Kristi Govella is an Assistant Professor in the Asian Studies Program at the University of Hawaii at Manoa. As a political scientist, she uses mixed methods approaches to examine the intersection of comparative politics and international relations in Asia, with a particular focus on Japanese politics, corporate lobbying, regional institutions, and the relationship between economics and security. Her publications include Linking Trade and Security: Evolving Institutions and Strategies in Asia, Europe, and the United States (2012). She holds a Ph.D. in Political Science from the University of California, Berkeley.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Vincent Hopkins,"Vince is a PhD student in Political Science at Simon Fraser University. He specializes in legislative studies, research methods, and interest group lobbying. His dissertation uses data science to generate new knowledge about how interest groups interact with and influence politicians.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Holly Hummer,Holly is a PhD student in sociology at Harvard. She studies career and family decisions-making processes using both qualitative and quantitative approaches. She is particularly interested in investigating the use of computational text analysis techniques on interview data.,,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Parastoo Jabbari,"Parastoo is a PhD student in Transportation Engineering at University of Washington. She works as graduate research assistant in Sustainable Transportation Lab.  Her topics of interest are energy, environmental and equity aspects of transportation systems with secondary interest in data science. Her research has focused on data collection and behavioral modeling activities of the connected & automated vehicles and understanding how increasing levels of vehicle automation could affect residential location choices and travel demand.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Ekaterina (Katya) Jardim,"Ekaterina (Katya) Jardim is a Post-Doc at the Evans School of Public Policy & Governance, University of Washington, where she is working on Seattle Minimum Wage Study. Katya is a labor economist with research focus on local labor markets, labor demand and job search, and expertise on employer-employee matched data. She holds a Ph.D. in Economics from Duke University and a M.A. in Economics from the New Economic School. In August 2018, Katya Jardim will be joining Amazon.com as an Economist.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Ian Kennedy,"Ian Kennedy is a PhD student in Sociology at the University of Washington, where he studies race and gender using new data and experimental methods. His current work uses Craigslist rental housing listings to examine processes of racial segregation in Seattle. He received his BA from Earlham college in History in 2008, and an MA in experimental humanities from NYU in 2017. He is a recipient of the Clarence and Elissa M. Schrag Graduate Fellowship from the University of Washington.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Charles Kiene,"Charles Kiene is a social computing researcher and MA / PhD student in the University of Washington's Department of Communication. His work investigates organizational behavior and communication of online communities and gaming teams. He is aspiring to become a mixed methods researcher, combining interview and ethnographic data with computational data to answer social scientific questions from all possible angles.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Savannah Larimore,"Savannah is a graduate student in the Department of Sociology at the University of Washington.  Her research focuses on the intersection of race, place, and health in the United States with an emphasis on race.  Her current research projects investigate how alternative measures of race, including observed race, correspond to health disparities within conventional, self-identified racial and ethnic groups.  She is also working on various independent and collaborative research projects on the social determinants of racial and ethnic health disparities.  Savannah enjoys traveling, camping, yoga, tennis, and taking advantage of the many restaurants in Seattle.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Sara Blalock Ng,"Sara Blalock Ng is a PhD student in the Department of Linguistics at the University of Washington.  Prior to coming to UW, she was an undergraduate in Applied Mathematics and Linguistics at the University of Utah.  Her research interests are varied issues in Natural Language Processing, especially computational phonology.  She is focused on text-free language processing and processing in low-resource languages.  Her current research concerns semantic representations of kinship in spoken dialogue.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Katy Pearce,"Dr. Katy E. Pearce is Assistant Professor in the Department of Communication at the University of Washington and holds an affiliation with the Ellison Center for Russian, East European and Central Asian Studies. Her research focuses on social and political uses of technologies and digital content in the transitioning democracies and semi-authoritarian states of the South Caucasus and Central Asia, but primarily Armenia and Azerbaijan.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Nandana Rao,no bio.,,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Suzanne Spencer,no bio.,,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Sondra Stegenga,"Sondra Stegenga MS, OTR/L, M.Ed. is a Ph.D. Candidate and Graduate Research Assistant for the University of Oregon Special Education – Early Intervention program. She holds a Bachelor of Science in behavioral science, Master of Science in occupational therapy, and a Master of Education in educational leadership – special education administration. Her research focuses on early assessment and intervention, research to practice - implementation science in early intervention systems, and early social emotional development and mental health related to school readiness and long-term outcomes. She has been studying the use of big data and non-traditional data sources related to early childhood and early intervention systems with particular attention to ethical use of large scale data in underrepresented and vulnerable populations.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Huatong Sun,"Associate Professor of Digital Media and Global Design at the University of Washington Tacoma. She researches how to design and innovate for usable, meaningful, and empowering technology in this increasingly globalized world to bridge cultural differences, informed by theories and methodologies from rhetoric and technical communication, human-computer interaction, informatics, intercultural communication, global media studies, British cultural studies, and science and technology studies. She is the author of “Cross-Cultural Technology Design” (Oxford University Press, 2012), and working with Oxford on a new book on global social media design.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
