name,bio,photo_path,role,date,location
Hee Youn Kwon,"Hee Youn Kwon received her PhD in Systems and Entrepreneurial Engineering at the University of Illinois at Urbana-Champaign in May 2018. At the University of Illinois, she had worked as a research and teaching assistant in the Department of Industrial and Enterprise Systems Engineering (ISE), the Computational Science and Engineering Program (CSE), and the Department of Computer Science (CS). She wrote her PhD dissertation on new developments in causal inference using Balance Optimization Subset Selection under supervision of Professor Sheldon H. Jacobson. Prior to Illinois, she received a B.S. in Mathematical Sciences from Korea Advanced Institute of Science and Technology (KAIST) and an M.Phil. in Economics from University of Oxford.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Igor Zakhlebin,"Igor Zakhlebin is pursuing a PhD in Technology and Social Behavior, a joint program in Computer Science and Communications at Northwestern University. His current projects study how crowds of people come together to produce new cultural works and how they collectively pay attention to them. To answer these questions, Igor performs large-scale data analyses and builds computational tools to support them. His methods of choice are network analysis, machine learning, and computational modeling.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Iva Terwilliger,"Iva Terwilliger is a PhD student in the Health Sciences Integrated PhD Program (HSIP) with a concentration in Healthcare Quality and Patient Safety. She studies teamwork in healthcare and is part of Nick Soulakis' lab. Iva is interested in using mixed methods to better understand how teamwork can be better utilized to improve the quality of patient care. Before coming to Northwestern, Iva worked as an RN at the VA and NYU Langone.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Jeremiah Bohr,"Jeremiah Bohr is currently an Assistant Professor of Sociology at the University of Wisconsin Oshkosh, and received his Ph.D. from the University of Illinois at Urbana-Champaign.  His research focuses on climate change denial (both in terms of organization and individual attitudes), household energy use and energy insecurity, and text analysis. He is currently using computational methods to study the communication of climate change by politicians on social media.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Josey VanOrsdale,"Josey VanOrsdale is currently a doctoral student at the University of Nebraska-Lincoln in the sociology department. Her research interests are in biosociology, minority health disparities, and quantitative and computational methods. Her most recent research has encapsulated these interests by looking at the subbaccalaureate education level within the education-health gradient. For the past year, she has also worked as part of the LifeHD lab at the University of Nebraska. She has recently joined and looks forward to contributing to the Research, Evaluation, & Analysis for Community Health (REACH) lab.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Kyosuke Tanaka,"Kyosuke Tanaka is a Ph.D. student in the Media, Technology, and Society program at Northwestern University. He is interested in network perception and cognition. His recent research explores how people decode, recall and learn the social networks around them.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Roland Adorjani,"Roland Adorjani is a Ph.D. Candidate in the School of Sociology at University College Dublin. My dissertation focuses on large-scale discourse analysis of e-therapy conversations. His project is also linked to collaborations with enterprise partners in the mental e-health domain. Other research interests include large-scale social media discourse analysis of Twitter hashtag campaigns and science of science. Prior to graduate school, he worked as a data scientist at opening.io.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Sarah Otner,"Sarah Otner is a Research Fellow in the Strategy & Organizational Behavior group at Imperial College Business School (London, UK). Her research uses economic sociology and social psychology in order to understand the mechanisms and the consequences of social status. Sarah's research focuses on prestige and expertise, and especially award competitions; her current research projects examine prize scarcity, prize sharing, establishing new prizes, and prize refusals.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Seyed Mohamad Hosseinioun,"Mohamad Hosseinioun is pursuing a Ph.D. in Management Information Systems at the University of Illinois at Chicago. He has received his bachelor's and master's degrees in Industrial and Systems Engineering and his research focuses on Causal Inference and Prediction in Complex and Dynamic Systems. Using Statistical and Fuzzy Machine Learning methods, Network Analysis, and Econometrics he investigates the behavior of social and economic entities. He is especially interested in collective realities and collective decision making, where the outcome of the ""whole"" is significantly altered by the interconnected behavior of the ""individual""s.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Shu Fu,"Shu Fu is a third-year PhD at the Department of Political Science at the University of Chicago. He studies American politics and political methodology. His research interests include American presidency, election, and public opinion. He is also interested in machine learning and causal inference in methods. He is currently working on multiple research projects. One project is related to the presidential partisan particularism, explaining how and why American presidents impact distributive politics and allocate disproportionately more federal funds toward their core states. Another project is to use advanced textual analysis to understand how first ladies communicate with the public. His dissertation is on American presidential public appeals and party building.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Yian Yin,"Yian Yin is currently a PhD candidate of Industrial Engineering & Management Sciences (IEMS) at McCormick School of Engineering and Applied Sciences, Northwestern University. He is also affiliated to Social Complexity group at Northwestern Institute on Complex Systems (NICO). His current research lies in the boundary of data mining, complex systems and computational social science, with a focus on understanding successes and failures in individual career from large-scale datasets. He received his bachelor's degrees in Statistics and Economics from Peking University in 2016.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Yini Zhang,"Yini Zhang is a Ph.D. candidate in the School of Journalism and Mass Communication at the University of Wisconsin Madison. She studies how emergent communication technologies impact the dynamics and outcomes of political communication. Her research mainly concerns agency, algorithms, and attention in the hybrid media system. She is also interested in media psychology such as hostile media and fact-check effects in the new media environment. She does mixed method research by applying both traditional communication research methods, such as survey and experiment, and computational methods, such as social network clustering and topic modeling, to mining insights about individual communication and media system in an ever evolving media landscape.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Yixue Wang,"Yixue Wang is a Ph.D. student in Technology and Social Behavior program at Northwestern University, a joint program between the Department of Electrical Engineering and Computer Science and the Department of Communication Studies. Her research interests are in computational social science, computational journalism, and data science for social good. She is particularly interested in how social networks, media exposure, and geospatial environment influence propagation, reinforcement, or polarization of ideas and attitudes using network analysis, machine learning and geospatial analysis. She is a member of Data Science fellow at Northwestern Data Science Initiative.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
