name,bio,photo_path,role,date,location
Katherine Hoffmann Pham,"Katherine Hoffmann Pham is a PhD candidate in Information Systems at the NYU Stern School of Business. Her research focuses on applications of big data to international development and policy problems; her current projects study transportation mode choice in New York City and migration patterns in the Central Mediterranean. She is also interested in how machine learning can be applied to causal inference. Previously, she worked on randomized controlled trials with Innovations for Poverty Action and completed a co-terminal degree in International Relations, Economics, and International Policy Studies at Stanford.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
David Holtz,"David Holtz is a PhD student in the Information Technology group at MIT Sloan. His research interests span online marketplace design, causal inference, applied machine learning, and network science. His work thus far has focused on ratings and reviews, as well as the viability of reputation systems that don’t depend on user generated feedback. He holds an MA in Physics & Astronomy from Johns Hopkins University and a BA in Physics from Princeton University. Prior to beginning his PhD, David was a data scientist (most recently at Airbnb).",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Eaman Jahani,"Eaman Jahani is a graduate research assistant pursuing a PhD degree in Social and Engineering Systems with a minor in Statistics at MIT IDSS. Prior to MIT, he was a software engineer at Google for 4 years. His main training is in statistics and computer science, but recently he has been appreciating econometrics and modeling in applied economics. His past research examined the extent of bubbles vs truth-seeking in cryptocurrency markets and socio-economic prediction in social networks. His current research focuses on structural factors such as networks or institutions that regenerate inequality at a micro scale. Eaman spends too much time reading political commentaries.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Carly Knight,"Carly Knight is completing her PhD in Sociology at Harvard University. Her work applies quantitative and computational methods to questions of historical and cultural change. Her primary research interest concerns the evolution of attitudes towards the market and the development of organizational market actors. She is also broadly interested in political sociology, law and regulation, markets and moral classification, and computational analysis. In the Fall, she will begin as an Assistant Professor at New York University.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Elena Labzina,"Elena is a graduating Ph.D. student in PolSci at WashU in St Louis. Soon, she is joining the Lab of Law&Economics at ETH Zurich as a postdoc in PolSci, Econ, and Data Analysis. Also, she holds MAs in PolSci, Econ, and Stats. Her BSc is in Applied Math and CompSci from Lomonosov State in Moscow, Russia. Elena’s research concerns the interdisciplinary studies that apply advanced data methods to questions related to information security, media freedom, development, and environmental issues.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Tina Law,"Tina Law is a Ph.D. student in sociology at Yale. Her research explores how big data and computational social science can be used to advance the study of racial inequality in U.S. cities and neighborhoods. She is particularly interested in applying and integrating techniques from analyses of social networks, text corpora, and emotions in order to generate new insights into longstanding issues of urban racial inequality. Her ongoing work is supported by the National Science Foundation’s Graduate Research Fellowship Program. She will be continuing her studies at Northwestern in fall 2018.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Yan Leng,"Yan is currently pursuing a Ph.D. at Human Dynamics group at MIT. She received dual masters in Computer Science and Transportation Engineering from MIT in 2016. Yan is interested in using a broad range of computational techniques to understand the network effect of social influence. In particular, she works on the inference, identification, and modeling of social influence and social learning with large-scale behavioral data in a networked environment. Besides, she also works on the combining network structure and personal attributes in maximizing cascading payoff.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Jeff Lockhart,"Jeff Lockhart is a PhD candidate in sociology at the University of Michigan. Before coming to Michigan, he completed a masters in computer science at Fordham University and a masters in gender studies at the University of Cambridge. His research seeks to integrate computational tools with critical insight from feminist and queer theory.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Julien Migozzi,"Julien Migozzi is a PhD Candidate in Urban & Economic Geography at the University of Grenoble Alpes and a Lecturer & Research Assistant at the Ecole Normale Supérieure de Paris. His research investigates how the real estate market reshapes patterns of social stratification and neighborhood change in emerging cities of the Global South, with a specific focus on Cape Town, South Africa. He is particularly interested in the intersection of housing market, financialization and inequalities. His methodology combines in-depth, qualitative fieldwork with spatial analysis, multivariate statistics & mapping. He received his B.A and his M.A in Geography from the Ecole Normale Supérieure de Lyon.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Sanaz Mobasseri,"Sanaz Mobasseri is an Assistant Professor of Organizational Behavior at Boston University’s Questrom School of Business. She received her PhD from the Management of Organizations Department at UC Berkeley's Haas School of Business. Her research examines the role of emotion, cognition, and culture in shaping social networks and labor market outcomes. Much of her work is situated in organizational settings, where she examine the microfoundations of workplace inequality. Although grounded in sociology and organizational theory, her work integrates theoretical insights from social psychology and sociolinguistics. Her research methods are similarly diverse, ranging from experimental studies in the lab to audit studies in the field to computational approaches applied to large archival data sets.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Hussein Mohsen,"Hussein is a PhD student in Computational Biology & Bioinformatics at Yale University supported by the Nicholas Jabr and Gruber Science Fellowships. His research interests are at the confluence of deep learning, cancer genomics, and computational social science. He received a BS in Computer Science from the Lebanese American University (LAU) and an MS in Bioinformatics at Indiana University.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Zanele Munyikwa,"Zanele Munyikwa is a PhD student in Information Technologies at the MIT Sloan School of Management. She studies the role of networks, platforms, and people in the rapidly changing digital economy. Zanele's current research focuses on the future of work and the economics of social networks. She holds a Bachelors degree in Computer Science from Duke University, and spent two years as a Research Fellow at Stanford Graduate School of Business.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Trang (Mae) Nguyen,"Trang (Mae) Nguyen (Nguyễn Thu Trang) is the John N. Hazard Fellow in Comparative Law at New York University School of Law, U.S.-Asia Law Institute, and visiting scholar at University of California Berkeley School of Law. Her research uses mixed methods analysis to study authoritarian legality. Mae earned a J.D. degree from NYU School of Law, where she was a Mitchell Jacobson Law & Leadership Fellow and executive editor of the New York University Law Review.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Stan Oklobdzija,"Stan Oklobdzija is a PhD Candidate in the Department of Political Science at UC San Diego. His dissertation project focuses on how changes to US election law allowed networks of interest groups to take over roles previously held by political parties. His research interests revolve around campaign finance, election law and state politics. Prior to graduate school, he worked as a reporter at the Sacramento Bee.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Anne Helby Petersen,"Anne Petersen is a research assistant at the Section of Biostatistics, Copenhagen University, Denmark. She has a MSc in statistics, a BSc in mathematics and a keen interest in sociology. She is the primary developer of two R-packages on CRAN, dataMaid and PCADSC. Her research interests are focused on the methodological challenges related to modeling observational data and in particular how this type of information can be used to understand the interplay between social inequality and health.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Iacopo Pozzana,"Iacopo holds a masters in physics from the University of Pisa and is currently pursuing a PhD in computer science at Birkbeck, University of London. In his research, he uses tools from network science, machine learning and natural language processing to study human behaviour on social media, currently focusing on platforms granting an high degree of anonymity to their users. Previously, he has worked on social bot detection and on temporal network modelling.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Francesco Rampazzo,"Francesco is pursuing a PhD in Social Statistics and Demography at the University of Southampton, while being a Doctoral Fellow at the Max Planck Institute of Demographic Research. He holds a Master’s degree in Demography from Stockholm University, and a Bachelor’s degree in Statistics from the University of Padova. Having moved around Europe for his university education, he understands how important it is to complement traditional data sources on migrants, with digital data sources for capturing the actual movements of individuals. His PhD focuses on the use of digital data for describing demographic events, such as European migration, male fertility, and patterns of transition to adulthood.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Leah Rosenzweig,"Leah just completed her PhD in political science at MIT, where she was a member of MIT GOV/LAB and the Political Methodology Lab. Her research focuses on citizens’ political behavior in developing countries. Her current book project investigates the puzzle of why citizens vote in elections with foregone conclusions. Using survey and experimental methods, she analyzes the role that social norms play in motivating turnout among citizens in semi-authoritarian states. Leah will be joining the Institute for Advanced Study in Toulouse, France as a postdoctoral research fellow in the fall.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Martijn Schoonvelde,"Martijn Schoonvelde is a postdoctoral fellow in Political Science at the Vrije Universiteit in Amsterdam where he uses automated text analysis to study on leader communication in the European Union during times of crisis. Before this, he was a Max Weber Fellow at the European University Institute in Florence, and a research fellow at the University of Exeter in the UK. He received his PhD from Stony Brook University. His interests include comparative political behavior, EU politics and research methods. He tweets under @hjms.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Carsten Schwemmer,"Carsten Schwemmer is currently pursuing a PhD in Sociology at Bamberg University, Germany. His research focuses on computational methods for the study of ethnic minorities and social media communication. Carsten is particularly interested in natural language processing, data mining and software development. He also teaches computational social science at Bamberg University and Humboldt University of Berlin.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Ieke de Vries,"Ieke de Vries is pursuing a PhD in Criminology and Justice Policy at Northeastern University. Her current research aims to address the legitimate contours of crime by building and analyzing novel, digitized data sets utilizing computational methods. She has collaborated with federal, state and local agencies in the U.S. and gained research and policy experience while researching crime in several other countries including the Netherlands where she worked for the Dutch Rapporteur on Trafficking in Human Beings.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
